Path_1,Path_2,Path_3,Path_4,Path_5
97564.04623775145,113903.6155762474,163934.68578721784,102213.54049955886,125179.26593912585
98682.4118848524,115570.66273126593,164514.95744776368,102702.53539587009,123707.61326197907
99144.99204419184,116767.8115239827,164676.61706263677,102906.19815624173,122000.7978174909
100707.27519709215,115723.62813898458,164969.33582978265,100158.88077689944,121616.9723081879
100932.08851611988,114724.31474717661,165780.85675349587,99874.8049100648,120150.15648750722
99736.57918457771,114683.27616593314,165359.52066954903,100339.32575784126,120823.75841686128
98411.9186331248,114211.72679546401,165024.67294479758,102025.31020097774,120374.98649025222
100075.99325393699,112957.30887474582,167908.25139302068,103786.73393978443,119668.24341630607
101840.99924169008,112503.56863407731,172526.64637633789,102413.47923662681,118808.69466205429
101698.91148074892,112014.72607757927,170517.80312851758,102096.27878152454,119168.8308167287
101349.89371081369,111306.96356265839,168438.38762103068,100538.17234679508,119267.27526283031
102871.60590512822,110999.9906597942,166893.55018584992,102106.4522920212,119555.85110589577
101773.91887626877,112352.47098984173,166787.92590313574,103181.48641389798,119819.02873597248
100904.02969338313,112621.26084073294,168348.69480850056,103584.50080131603,119780.45235672596
101593.533965199,115450.09189209856,169411.40089737906,103797.9831345296,118590.87605136687
101233.27808926432,115693.12378629863,169770.6058165375,105272.56956447422,117772.14821099173
101268.58636691996,115403.81488091024,170736.49114131354,106589.87175060587,117354.43995604431
101143.57748861382,115454.74591111086,169623.142118268,107866.86605628657,119824.98003768417
101525.46989495556,115797.0599714697,169276.90265904233,108402.61905536645,118256.66717801879
102995.03265629857,116347.39008127186,169310.59799101207,108067.40747983272,117808.50219580845
103129.52862380623,118810.12846446353,166696.07607339323,108939.64636092004,117971.39254835481
103834.87147738799,117853.32618547307,164826.89596151013,109872.21538520626,117660.7352322833
101747.61185980812,118912.8818689749,163044.184194933,109706.70666016535,118971.43998500265
101738.74109405187,119207.48924444546,164355.2358882826,109365.24572179693,118652.00413075347
100921.54472896954,117382.30606764863,164824.23168712767,110648.44266213571,118421.17686179727
99731.86837892319,118333.9229933338,165897.33830796255,112534.02059764387,119433.23800541818
98895.96336352297,119881.28525081818,162911.75858115382,111735.70900343044,121643.60287058551
98605.08715336397,118901.64367520338,160560.01870661546,111486.11749137036,123404.3920441494
99547.65568835536,118938.58181690612,161689.1015490391,111921.95360029928,123285.11690607744
98267.0818948999,116934.04535908338,157260.97121103297,112511.33348621911,123273.38729902044
98336.48940157123,115508.84566067666,159249.73962101428,111968.61666314781,123380.28904950607
97899.70877383614,116765.61606622906,156409.81171333732,114122.3561041743,123611.00946018806
97618.07765223511,116267.7082059814,157791.44979557657,114649.71010866028,122613.03830618493
98635.99779586571,115025.0354817836,156452.45581343022,115304.79953008075,123810.46963487136
99206.22772556647,115334.98236161126,158156.07241725983,117378.99921404642,124115.79755406741
100572.69242872375,114778.59206891007,163293.23614450273,116898.8467721656,124109.77025658854
100457.53098411833,114284.10103578739,159646.6081234228,116842.23046713445,122581.79855821645
99798.58723176121,115174.74677836787,160820.61279689713,115424.55771199202,122707.18283226126
99615.09873001343,113882.79322268676,157977.04268564942,115271.79276476361,120433.15822307814
99896.50818754737,112897.29114690723,158714.43042514432,113601.58803206122,119780.83281156553
100112.85741030713,113116.40220070143,158449.73893565524,114496.59740972501,119154.26202232655
99067.29066874189,114258.21023945742,158718.75858235493,115023.2780367505,119543.89073149858
99196.56336000019,115718.61332393096,157335.228945834,114750.59314857576,121838.95414752784
99462.6366454559,114995.30056870979,158626.229179055,114681.25658545243,122584.49580404525
102006.36775471015,116119.23814950837,156392.20424733494,115600.38834150154,124409.04598032257
103961.67131818048,115255.14578758227,158396.5850132375,114333.64380962585,125261.51190782175
103116.20993905557,117406.0480910612,157811.70513741605,114612.80982949657,126720.87552353927
102861.11759260623,116121.8947549508,155661.21974365762,115460.38279764362,129124.93191498531
101396.94924123412,117710.9982793622,158206.18234490798,113448.74647848509,128231.59807631224
100838.54912981765,116985.3263287723,158162.9245777468,114271.17955870014,127260.75096131879
101197.13605607116,119387.32339424771,161243.3625887261,112403.91710720521,128162.78903616192
102457.90423986092,120141.04031445774,163277.21562584993,112316.69786789698,128209.33974245681
101751.88338125321,118968.44390238564,162039.33642868767,111054.94207563551,128543.1376724928
101126.97781176529,118394.73228737539,161966.43525378918,112688.83411205579,128274.91070209432
98995.94010223172,119366.96757689427,162227.2626640684,111429.96342051121,127561.37032955825
98874.50582100323,120671.22408460018,164768.23347042612,109635.72941289342,129679.86449899682
97863.59862383438,120634.15920408144,165555.03097124948,109825.78529778539,128305.4380427176
